Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240305T133719,MLM,0.260706,0.207134
20240301T224500,EXC,0.188027,0.278085
20240308T142800,PCG,0.3466,0.173011
20240303T150100,KR,0.119097,0.11099
20240306T110100,IT,0.269416,0.114568
20240301T153958,VMC,0.222975,0.0
20240305T224518,HAL,0.161229,0.15039
20240301T125327,DVN,0.165255,0.172361
20240312T102007,PEG,0.161689,0.06002
20240301T081848,ACGL,0.201737,0.182172
20240301T033600,CTSH,0.363563,0.035579
20240301T105100,RCL,0.104896,0.129348
20240301T150000,BKR,0.381512,0.139146
20240301T163040,ODFL,0.096922,0.162191
20240305T071844,GPN,0.245023,0.11642
20240301T163045,ROK,0.085509,0.206837
20240301T155400,ED,0.416605,0.560918
20240301T140015,ADM,0.21759,0.119344
20240304T173800,RMD,0.347724,0.070153
20240307T112600,DD,0.211678,0.365556
20240304T173814,EA,-0.098109,-0.416515
20240305T130000,PPG,0.304491,0.17295
20240302T095300,BIIB,0.242403,0.265786
20240301T071841,XEL,0.282613,0.210818
20240304T130500,TSCO,0.220678,0.12436
20240307T144504,WAB,0.398669,0.305786
20240304T111517,ON,0.088622,0.007429
20240303T221500,ANSS,0.099703,0.109
20240301T172200,HIG,0.309779,0.051397
20240302T072151,EXR,0.193881,0.026769
20240301T130000,HSY,0.466288,0.207978
20240301T060000,FICO,0.205792,0.0
20240304T112005,EFX,0.240174,0.06168
20240301T110000,EBAY,0.098982,0.013389
20240305T165800,AVB,0.203255,0.373175
20240320T194518,EIX,0.28994,0.31675
20240301T153000,MTD,0.301809,0.095197
20240302T004800,WST,0.261249,0.0
20240303T051051,CBRE,-0.007201,0.057222
20240307T163109,WTW,0.264063,0.200919
20240307T164006,WEC,0.468766,0.581929
20240301T110400,CAH,0.158543,0.0
20240301T165300,DLTR,0.376379,0.10658
20240305T134500,DOV,0.203755,0.079474
20240302T070148,FITB,0.319164,0.229558
20240304T121000,ZBH,0.149572,0.0
20240301T140016,PHM,0.219305,0.154563
20240304T133600,NVR,0.2858,0.252397
20240301T012600,HPQ,0.202543,-0.017698
20240301T150000,GLW,0.297939,0.165906
20240301T084415,RJF,0.289535,0.436546
20240301T164740,WDC,0.144552,0.092702
20240306T124300,TTWO,0.232298,0.070846
20240308T120000,WY,0.288756,0.154483
20240301T000714,STT,0.168068,-0.070072
20240304T163800,IRM,0.321388,0.077854
20240301T172400,DTE,0.460881,0.673955
20240306T143826,ETR,0.222189,0.151719
20240304T154900,GPC,0.37335,0.391902
20240301T133008,ALGN,0.300146,0.408977
20240301T152000,GRMN,0.218104,0.086848
20240311T091600,BALL,0.225625,0.136515
20240304T140011,HUBB,0.246011,0.165586
20240301T081848,AXON,0.338454,0.534226
20240303T075044,IFF,0.269055,0.442505
20240301T163043,PTC,0.128833,0.210391
20240301T135900,DECK,0.288433,0.399414
20240301T112007,CTRA,0.344725,0.066855
20240313T131500,SBAC,0.247845,0.041166
20240301T080000,NTAP,0.321572,0.0
20240301T164900,ES,0.212042,0.054119
20240305T112005,STLD,0.24927,0.060868
20240305T202124,BAX,0.098581,-0.011285
20240302T004800,STE,0.261249,0.0
20240304T140000,MOH,0.46214,0.357803
20240325T131000,PPL,0.270028,0.093426
20240311T142000,FE,0.014728,0.04969
20240301T112007,ILMN,0.142875,0.093198
20240306T151800,TYL,0.198768,0.160431
20240301T172600,BRO,0.25493,0.176685
20240304T141004,AEE,0.275836,0.118846
20240306T122100,OMC,0.303322,0.56603
20240304T191634,DRI,0.12925,0.020613
20240301T003600,WAT,0.329424,0.041975
20240307T163058,J,0.159911,0.307913
20240304T101800,RF,-0.20422,-0.109275
20240315T210000,CNP,0.15171,0.290795
20240301T120000,CLX,0.287886,0.082835
20240301T072244,ARE,0.299943,0.187645
20240302T070148,HOLX,0.299174,0.465667
20240301T094845,AVY,0.294181,0.034198
20240301T171000,VTR,0.500357,0.125891
20240306T182400,TDY,0.361524,0.086836
20240301T113053,COO,0.069104,-0.020624
20240301T163039,TER,0.195435,0.019239
20240302T113000,CINF,0.31919,0.120496
20240301T013906,DPZ,0.115567,0.059292
20240307T154200,ATO,0.402039,0.082617
20240307T163103,CMS,0.205037,0.066725
20240301T071842,PFG,0.204278,0.118148
20240301T131100,TSN,0.103488,0.187104
